brand,brand_slug,raw_name,display_name,product_slug,local_image_key,source
Lattafa,lattafa,Musamam-White-2_f0fbc6e1-998a-40c8-86fe-0e421719151a,Musamam White,musamam-white,products/lattafa/musamam-white/01.jpg,local-assets
Lattafa,lattafa,Yara-Candy-2_ce1515d9-9405-4151-b4ba-079849346226,Yara Candy,yara-candy,products/lattafa/yara-candy/01.jpg,local-assets
Lattafa,lattafa,Yara-Moi-2_edf87f97-4ec0-44e3-b553-c6cf006e921c,Yara Moi,yara-moi,products/lattafa/yara-moi/01.jpg,local-assets
Lattafa,lattafa,YaraElixirBottlebox,Yaraelixirbottlebox,yaraelixirbottlebox,products/lattafa/yaraelixirbottlebox/01.jpg,local-assets
Lattafa,lattafa,myyaragiftset,Myyaragiftset,myyaragiftset,products/lattafa/myyaragiftset/01.jpg,local-assets
Orientica,orientica,14,14,14,products/orientica/14/01.jpg,local-assets
Orientica,orientica,AmberNoir_grande,Ambernoir Grande,ambernoir-grande,products/orientica/ambernoir-grande/01.jpg,local-assets
Orientica,orientica,OudSaffron_grande,Oudsaffron Grande,oudsaffron-grande,products/orientica/oudsaffron-grande/01.jpg,local-assets
Orientica,orientica,RoyalAmber,Royalamber,royalamber,products/orientica/royalamber/01.jpg,local-assets
Orientica,orientica,RoyalBleu_grande,Royalbleu Grande,royalbleu-grande,products/orientica/royalbleu-grande/01.jpg,local-assets
Orientica,orientica,VelvetGold_d1aaa7a4-7d3f-4dd0-8ca8-e825736cdb66_grande,Velvetgold Grande,velvetgold-grande,products/orientica/velvetgold-grande/01.jpg,local-assets
