brand,name,slug,category,price,stock,image_url,source
"Bvlgari","Bvlgari Wood Essence set de regalo",bvlgari-bvlgari-wood-essence-set-de-regalo,,465500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Bvlgari_Wood_Essence_set_de_regalo.png?v=1743716079",disfragancias
"INITIO Parfums Privés","INITIO PSYCHEDELIC LOVE",initio-parfums-prives-initio-psychedelic-love,decants,85500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/PsychedelicLoveInitioParfumsPrives.png?v=1743715703",disfragancias
"Stephane Humbert Lucas","Stephane Humbert Lucas Soleil de Jeddah Mango Kiss",stephane-humbert-lucas-stephane-humbert-lucas-soleil-de-jeddah-mango-kiss,decants,142500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Stephane_Humbert_Lucas_Soleil_de_Jeddah_Mango_Kiss.png?v=1743713916",disfragancias
"Stephane Humbert Lucas","Stephane Humbert Lucas Pink Boa",stephane-humbert-lucas-stephane-humbert-lucas-pink-boa,decants,142500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Pink_Boa_Stephane_Gumbert_Lucas.png?v=1743712557",disfragancias
"Jimmy Choo","jimmy choo i want choo forever set de regalo",jimmy-choo-jimmy-choo-i-want-choo-forever-set-de-regalo,,370500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/jimmychooiwantchooforeversetderegalo.png?v=1743712211",disfragancias
"Giorgio Armani","Giorgio armani acqua di gioia intense",giorgio-armani-giorgio-armani-acqua-di-gioia-intense-100-ml,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Giorgioarmaniacquadigioiaintense100ML.png?v=1743711845",disfragancias
"Michael Malul London","Michael Malul sangria + Saffron set de regalo",michael-malul-london-michael-malul-sangria-saffron-set-de-regalo,,560500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/MichaelMalulsangria_Saffronsetderegalo.png?v=1743711462",disfragancias
"Armaf","Armaf Delights Yum Yum",armaf-armaf-delights-yum-yum,decants,25650,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/ArmafDelightsYumYum.png?v=1742874601",disfragancias
"Valentino","Valentino Donna Born in roma Intense",valentino-valentino-donna-born-in-roma-intense,decants,52250,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Valentino_Donna_Born_in_roma_Intense.png?v=1742874223",disfragancias
"Victoria's Secret","Victoria's Secret Bombshell",victoria-s-secret-victorias-secret-bombshell,decants,33250,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Victoria_sSecretBombshell.png?v=1742872983",disfragancias
"lattafa","lattafa qaaed intense",lattafa-lattafa-qaaed-intense,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/lattafa_qaaed_intense_52439389-d398-4050-b1c9-16e8906deb6f.png?v=1742872330",disfragancias
"Nautica","Nautica Voyage Sport",nautica-nautica-voyage-sport,,104500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/NauticaVoyageSport.png?v=1742871682",disfragancias
